bahan;warna_kemeja;tipe_kerah;tipe_lengan;motif;posisi_motif;warna_motif;harga;penjualan
Kain Flanel;Salem;Straight Collar;Lengan Panjang;Square Pattern;Full;Hitam Putih;169000;Rendah
Kain Flanel;Biru;Straight Collar;Lengan Panjang;Square Pattern;Full;Hijau Putih;169000;Rendah
Kain Flanel;Kuning;Straight Collar;Lengan Panjang;Square Pattern;Full;Biru;169000;Rendah
Kain Flanel;Coklat;Straight Collar;Lengan Panjang;Square Pattern;Full;Biru;169000;Rendah
Kain Flanel;Hitam;Straight Collar;Lengan Panjang;Square Pattern;Full;Putih;169000;Rendah
Kain Flanel;Maroon;Straight Collar;Lengan Panjang;Square Pattern;Full;Kuning Putih;169000;Rendah
Kain Flanel;Kuning;Straight Collar;Lengan Panjang;Square Pattern;Full;Biru;169000;Rendah
Kain Flanel;Hijau;Straight Collar;Lengan Panjang;Square Pattern;Full;Biru;169000;Rendah
Kain Flanel;Abu;Straight Collar;Lengan Panjang;Square Pattern;Full;Hitam;169000;Rendah
Kain Flanel;Merah;Straight Collar;Lengan Panjang;Square Pattern;Full;Hitam;169000;Rendah
Kain Flanel;Hijau;Straight Collar;Lengan Panjang;Square Pattern;Full;Hitam;169000;Rendah
Kain Flanel;Hitam;Straight Collar;Lengan Panjang;Square Pattern;Full;Putih;169000;Rendah
Kain Flanel;Coklat;Straight Collar;Lengan Panjang;Square Pattern;Full;Salem;169000;Tinggi
Kain Flanel;Navy;Straight Collar;Lengan Panjang;Square Pattern;Full;Salem;169000;Tinggi
Kain Flanel;Merah;Straight Collar;Lengan Panjang;Square Pattern;Full;Hitam;169000;Rendah
Kain Flanel;Merah;Straight Collar;Lengan Panjang;Square Pattern;Full;Biru;169000;Rendah
Kain Flanel;Merah;Straight Collar;Lengan Panjang;Square Pattern;Full;Putih;169000;Rendah
Kain Flanel;Navy;Straight Collar;Lengan Panjang;Square Pattern;Full;Merah;169000;Rendah
Kain Flanel;Oren;Straight Collar;Lengan Panjang;Square Pattern;Full;Coklat;169000;Rendah
Kain Flanel;Hijau;Straight Collar;Lengan Panjang;Square Pattern;Full;Hitam;169000;Rendah
Katun Yarndyed;Navy;Straight Collar;Lengan Pendek;Stripes;Full Vertikal;Hitam;149000;Rendah
Katun Yarndyed;Abu;Straight Collar;Lengan Pendek;Stripes;Full Vertikal;Biru;99000;Rendah
Katun Yarndyed;Hitam;Straight Collar;Lengan Pendek;Stripes;Full Vertikal;Abu;99000;Rendah
Katun Yarndyed;Biru;Straight Collar;Lengan Pendek;Stripes;Full Vertikal;Navy;129000;Rendah
Katun Yarndyed;Coklat;Straight Collar;Lengan Pendek;Stripes;Full Vertikal;Krem;129000;Rendah
Katun Yarndyed;Abu;Straight Collar;Lengan Pendek;Stripes;Dada Horizontal;Putih;129000;Rendah
Katun Yarndyed;Biru;Straight Collar;Lengan Pendek;Stripes;Full Vertikal;Navy;129000;Tinggi
Katun Yarndyed;Merah;Straight Collar;Lengan Panjang;Stripes;Full Vertikal;Putih;119000;Rendah
Katun Yarndyed;Kuning;Straight Collar;Lengan Panjang;Stripes;Full Vertikal;Putih;119000;Rendah
Katun Yarndyed;Abu;Straight Collar;Lengan Pendek;Stripes;Dada Horizontal;Merah;129000;Rendah
Katun Yarndyed;Abu;Straight Collar;Lengan Panjang;Stripes;Dada Horizontal;Merah;149000;Rendah
